Designator,Mid X,Mid Y,Rotation,Layer
R106,76.25,67.25,180,top
R107,93.75,68.5,0,top
R108,93.75,67.25,180,top
R201,64.5,62.75,0,top
R202,74,39.75,270,top
R203,64.5,64.5,90,top
R204,64.5,61.5,180,top
R205,82,62.75,0,top
R206,75.5,39.75,270,top
R207,82,64.5,90,top
R208,82,61.5,180,top
R301,65.969,40.253,0,top
R302,67.706,39.75,270,top
R303,58.75,109.5,180,top
R304,87,39,90,top
R305,85.75,39,90,top
R306,62.25,109.5,180,top
R401,93.75,71.25,180,top
R402,76.25,71.25,180,top
R501,10,14.7,90,top
R503,23,14.7,90,top
R505,36,14.7,90,top
R507,49,14.7,90,top
R509,10,105.05,90,top
R511,23,105.05,90,top
R513,36,105.05,90,top
R515,49,105.05,90,top
R601,60.25,25.5,270,top
R602,59,25.5,90,top
R901,16.875,49.95,180,top
R902,13.685,49.95,0,top
SW301,59.5,116.1,180,top
Y301,68.519,42.853,0,top
